타임스탬프,A1. 귀하는 건강기능식품을 섭취하고 계시나요?,B1. 현재 섭취 중인 건강기능식품은 어떤 제품인가요?,B2. 건강기능식품을 섭취하시는 이유는 무엇인가요? (중복 선택 가능),B3. 건강기능식품을 섭취하는 빈도는 어떻게 되시나요?,B4. 건강기능식품의 섭취 시간대는 언제인가요?,B5. 섭취하고 있는 건강기능식품에 대한 전반적인 만족은 어느 정도인가요?,B6. 건강기능식품을 구매할 때 가장 중요하게 생각하는 요소는 무엇인가요?,B7. 건강기능식품을 구매할 때 주로 이용하는 채널은 무엇인가요?,"C1. 새로운 건강기능식품이 출시된다면, 어떤 점을 개선하거나 추가했으면 좋겠다고 생각하시나요?",C2. 건강기능식품에서 선호하는 주요 원료는 무엇인가요? (최대 3개 선택 가능),C4. 건강기능식품에 대한 정보를 주로 얻는 경로는 무엇인가요? (중복 선택 가능),C5. 건강기능식품에 대한 정보를 찾을 때 중요하게 생각하는 요소는 무엇인가요?,C6. 건강기능식품 원료의 출처에 대해 얼마나 중요하게 생각하시나요?,Z1. 건강기능식품을 섭취하지 않는 이유는 무엇인가요? 자유롭게 작성해 주세요.,Z2. 앞으로 건강기능식품을 구매할 의향이 있나요?,D1. 귀하의 성별은 어떻게 됩니까?,D2. 귀하의 연령은 만 몇 세 입니까?
2024-06-19 6:14,예,nan,피로 회복,한 달에 한 번,아무때나,3,브랜드 신뢰도,백화점,섭취가 편한 제품,비타민 C,인터넷 검색,가격 비교,3,모름,4,남자,58
2024-03-19 4:30,예,루테인,피부 건강,매일,저녁,5,효과,백화점,가격 인하,nan,소셜 미디어,가격 비교,5,건강에 문제 없어서,4,남자,49
2024-04-30 13:41,예,nan,피로 회복,주 1회,nan,2,브랜드 신뢰도,nan,크기를 작게,nan,전문가 추천,전문가 의견,2,건강에 문제 없어서,2,남자,45
2024-06-16 8:05,아니오,비타민D,모름,주 2~3회,아무때나,5,구매 편의성,온라인 쇼핑몰,효과 증대,유산균,친구 및 가족,nan,1,비용이 너무 비싸서,2,여자,26
2024-02-01 18:52,예,홍삼,면역력 강화,주 1회,점심,5,nan,nan,효과 증대,프로바이오틱스,전문가 추천,nan,3,모름,5,여자,26
2024-05-15 21:58,예,엑세라민,면역력 강화,매일,점심,3,브랜드 신뢰도,마트,nan,유산균,nan,가격 비교,3,건강에 문제 없어서,2,여자,24
2024-02-06 4:06,아니오,홍삼,피부 건강,한 달에 한 번,저녁,4,구매 편의성,nan,효과 증대,홍삼,친구 및 가족,전문가 의견,1,nan,,여자,20
2024-11-14 5:35,예,nan,다이어트,한 달에 한 번,점심,5,nan,nan,섭취가 편한 제품,프로바이오틱스,친구 및 가족,전문가 의견,5,비용이 너무 비싸서,2,여자,65
2024-08-30 5:41,예,루테인,피부 건강,매일,아침,4,효과,약국,크기를 작게,홍삼,전문가 추천,전문가 의견,5,nan,2,남자,37
2024-02-17 11:56,예,엑세라민,다이어트,주 2~3회,nan,1,효과,약국,가격 인하,유산균,인터넷 검색,성분 분석,4,모름,2,여자,32
2024-08-29 12:09,예,nan,피로 회복,한 달에 한 번,아무때나,,성분,약국,크기를 작게,nan,친구 및 가족,nan,,nan,1,남자,44
2024-04-22 12:46,예,모름,피로 회복,nan,nan,4,구매 편의성,nan,효과 증대,홍삼,nan,nan,5,건강에 문제 없어서,5,남자,59
2024-10-07 23:10,아니오,오메가3,모름,한 달에 한 번,저녁,2,구매 편의성,온라인 쇼핑몰,가격 인하,프로바이오틱스,인터넷 검색,성분 분석,4,건강에 문제 없어서,,남자,27
2024-05-05 7:41,예,nan,다이어트,nan,아무때나,,가격,마트,nan,프로바이오틱스,인터넷 검색,사용 후기,,효과를 믿지 않아서,2,여자,29
2024-06-28 9:27,예,홍삼,모름,매일,아무때나,2,가격,마트,크기를 작게,홍삼,인터넷 검색,성분 분석,3,비용이 너무 비싸서,5,여자,51
2024-05-30 21:30,예,엑세라민,면역력 강화,매일,아침,5,nan,온라인 쇼핑몰,가격 인하,프로바이오틱스,친구 및 가족,전문가 의견,1,모름,3,여자,36
2024-10-21 2:51,예,홍삼,다이어트,한 달에 한 번,저녁,,nan,온라인 쇼핑몰,가격 인하,nan,인터넷 검색,성분 분석,5,비용이 너무 비싸서,1,여자,57
2024-05-20 15:58,예,엑세라민,피부 건강,주 1회,점심,4,가격,마트,가격 인하,nan,전문가 추천,전문가 의견,4,nan,2,여자,34
2024-03-10 18:50,아니오,nan,면역력 강화,nan,아침,,nan,백화점,섭취가 편한 제품,프로바이오틱스,인터넷 검색,가격 비교,3,모름,,여자,34
2024-12-14 22:10,예,비타민D,면역력 강화,주 2~3회,아침,5,브랜드 신뢰도,약국,크기를 작게,홍삼,nan,전문가 의견,5,모름,1,여자,67
2024-04-10 20:10,아니오,모름,피부 건강,한 달에 한 번,nan,3,가격,약국,가격 인하,유산균,소셜 미디어,nan,2,건강에 문제 없어서,,여자,59
2024-02-28 11:00,아니오,nan,면역력 강화,주 2~3회,nan,2,구매 편의성,마트,크기를 작게,프로바이오틱스,nan,성분 분석,3,nan,1,남자,39
2024-06-16 16:51,예,홍삼,다이어트,한 달에 한 번,nan,5,브랜드 신뢰도,온라인 쇼핑몰,가격 인하,프로바이오틱스,친구 및 가족,전문가 의견,5,건강에 문제 없어서,3,여자,34
2024-04-24 8:37,예,오메가3,모름,주 1회,아침,3,nan,백화점,nan,프로바이오틱스,인터넷 검색,사용 후기,3,건강에 문제 없어서,5,남자,54
2024-01-08 16:08,예,오메가3,면역력 강화,주 1회,점심,,효과,마트,nan,프로바이오틱스,인터넷 검색,가격 비교,1,효과를 믿지 않아서,1,남자,25
2024-04-02 1:43,예,루테인,다이어트,주 1회,아무때나,,성분,약국,nan,홍삼,전문가 추천,사용 후기,1,건강에 문제 없어서,4,남자,49
2024-09-29 22:16,아니오,엑세라민,피로 회복,주 1회,nan,5,가격,nan,효과 증대,유산균,인터넷 검색,사용 후기,1,비용이 너무 비싸서,3,남자,27
2024-11-08 18:03,예,홍삼,다이어트,매일,점심,4,효과,온라인 쇼핑몰,가격 인하,유산균,nan,사용 후기,,모름,4,여자,50
2024-07-23 14:30,예,루테인,모름,매일,저녁,,nan,nan,효과 증대,비타민 C,친구 및 가족,가격 비교,2,건강에 문제 없어서,3,여자,67
2024-06-22 4:23,예,홍삼,다이어트,nan,nan,4,구매 편의성,마트,크기를 작게,프로바이오틱스,소셜 미디어,가격 비교,1,비용이 너무 비싸서,4,남자,66
2024-01-22 4:35,예,엑세라민,피부 건강,주 2~3회,아무때나,4,성분,약국,효과 증대,프로바이오틱스,인터넷 검색,가격 비교,2,nan,4,남자,51
2024-07-05 8:04,예,nan,모름,한 달에 한 번,저녁,4,효과,백화점,크기를 작게,비타민 C,소셜 미디어,가격 비교,1,모름,,남자,64
2024-09-05 19:31,예,nan,피로 회복,한 달에 한 번,저녁,1,성분,nan,크기를 작게,유산균,인터넷 검색,사용 후기,,nan,1,여자,34
2024-06-22 13:09,아니오,오메가3,피부 건강,매일,아무때나,3,가격,백화점,크기를 작게,비타민 D,친구 및 가족,nan,3,비용이 너무 비싸서,1,남자,37
2024-09-12 9:22,아니오,nan,다이어트,한 달에 한 번,nan,3,nan,약국,효과 증대,nan,nan,nan,5,nan,3,남자,32
2024-12-22 5:32,예,nan,모름,매일,아침,,구매 편의성,nan,가격 인하,비타민 D,친구 및 가족,가격 비교,5,nan,5,여자,43
2024-10-12 17:10,예,비타민D,피로 회복,nan,아무때나,,nan,백화점,효과 증대,유산균,소셜 미디어,성분 분석,1,nan,,남자,59
2024-03-10 1:17,예,오메가3,피부 건강,주 2~3회,아무때나,4,성분,백화점,가격 인하,프로바이오틱스,인터넷 검색,전문가 의견,5,건강에 문제 없어서,1,여자,33
2024-12-15 15:42,아니오,루테인,피로 회복,nan,아무때나,1,효과,nan,가격 인하,비타민 D,소셜 미디어,성분 분석,1,건강에 문제 없어서,1,여자,47
2024-09-07 15:22,예,모름,다이어트,주 1회,저녁,4,가격,약국,크기를 작게,홍삼,nan,성분 분석,1,건강에 문제 없어서,,남자,30
2024-12-15 15:42,아니오,비타민D,피로 회복,주 1회,점심,1,가격,백화점,효과 증대,홍삼,친구 및 가족,성분 분석,4,모름,2,남자,25
2024-07-24 8:02,예,루테인,면역력 강화,주 1회,아침,4,nan,마트,가격 인하,비타민 C,소셜 미디어,nan,4,비용이 너무 비싸서,,남자,44
2024-11-15 16:40,예,엑세라민,피부 건강,nan,nan,2,효과,nan,nan,유산균,소셜 미디어,전문가 의견,4,건강에 문제 없어서,1,여자,20
2024-07-25 19:07,예,비타민D,피로 회복,한 달에 한 번,nan,2,효과,온라인 쇼핑몰,가격 인하,유산균,nan,성분 분석,2,nan,5,여자,44
2024-03-29 18:48,예,루테인,다이어트,주 2~3회,점심,5,성분,온라인 쇼핑몰,nan,비타민 D,인터넷 검색,가격 비교,4,nan,2,여자,21
2024-10-30 14:50,아니오,엑세라민,다이어트,주 1회,아무때나,4,nan,약국,효과 증대,프로바이오틱스,소셜 미디어,nan,1,nan,4,남자,51
2024-07-03 3:27,아니오,오메가3,피로 회복,주 1회,아침,,nan,마트,효과 증대,유산균,nan,가격 비교,,nan,,남자,32
2024-02-17 11:56,예,모름,다이어트,주 1회,nan,3,브랜드 신뢰도,백화점,효과 증대,비타민 D,인터넷 검색,가격 비교,,효과를 믿지 않아서,4,남자,52
2024-06-25 20:05,예,엑세라민,모름,주 2~3회,nan,5,nan,온라인 쇼핑몰,가격 인하,비타민 D,인터넷 검색,성분 분석,3,모름,2,남자,51
2024-10-25 20:51,아니오,nan,모름,주 1회,아무때나,,가격,약국,섭취가 편한 제품,nan,친구 및 가족,가격 비교,4,비용이 너무 비싸서,2,남자,43
2024-08-24 0:37,아니오,홍삼,모름,주 2~3회,점심,2,성분,마트,가격 인하,nan,nan,전문가 의견,,비용이 너무 비싸서,2,남자,46
2024-01-08 7:22,아니오,엑세라민,면역력 강화,주 1회,아침,4,효과,마트,가격 인하,유산균,인터넷 검색,가격 비교,4,건강에 문제 없어서,3,여자,23
2024-11-02 21:45,아니오,엑세라민,피로 회복,nan,점심,5,nan,약국,크기를 작게,비타민 D,친구 및 가족,성분 분석,3,효과를 믿지 않아서,,여자,43
2024-03-01 15:36,예,모름,면역력 강화,nan,점심,4,성분,약국,크기를 작게,비타민 C,전문가 추천,가격 비교,,비용이 너무 비싸서,5,여자,42
2024-04-09 17:52,아니오,홍삼,다이어트,주 2~3회,아침,2,nan,백화점,가격 인하,비타민 C,nan,nan,1,모름,5,남자,48
2024-05-21 9:30,예,nan,면역력 강화,nan,아침,5,효과,약국,nan,nan,전문가 추천,nan,2,nan,4,여자,53
2024-08-07 5:15,아니오,루테인,다이어트,주 2~3회,nan,2,구매 편의성,백화점,크기를 작게,유산균,인터넷 검색,nan,4,건강에 문제 없어서,4,여자,40
2024-04-25 2:09,아니오,루테인,다이어트,nan,nan,1,효과,백화점,가격 인하,프로바이오틱스,nan,사용 후기,,모름,4,여자,49
2024-01-05 17:59,아니오,엑세라민,피부 건강,nan,아침,2,효과,nan,섭취가 편한 제품,비타민 C,친구 및 가족,nan,,비용이 너무 비싸서,,남자,45
2024-03-29 1:16,아니오,홍삼,모름,주 2~3회,저녁,4,효과,마트,nan,비타민 C,인터넷 검색,nan,3,효과를 믿지 않아서,1,남자,39
2024-10-10 12:33,아니오,홍삼,다이어트,한 달에 한 번,nan,3,nan,마트,효과 증대,nan,nan,사용 후기,1,건강에 문제 없어서,4,여자,35
2024-05-06 1:13,예,nan,피부 건강,nan,저녁,2,브랜드 신뢰도,마트,가격 인하,nan,nan,nan,5,비용이 너무 비싸서,2,남자,22
2024-07-25 1:35,예,모름,모름,주 1회,아침,,효과,nan,가격 인하,유산균,전문가 추천,성분 분석,,건강에 문제 없어서,4,남자,68
2024-11-23 17:35,아니오,오메가3,다이어트,한 달에 한 번,nan,3,가격,백화점,nan,nan,인터넷 검색,nan,2,비용이 너무 비싸서,2,남자,56
2024-05-03 20:36,아니오,루테인,다이어트,주 2~3회,점심,1,가격,백화점,크기를 작게,홍삼,친구 및 가족,nan,3,nan,3,남자,59
2024-02-03 5:57,예,모름,면역력 강화,한 달에 한 번,아침,5,성분,약국,크기를 작게,비타민 D,친구 및 가족,사용 후기,,효과를 믿지 않아서,1,여자,63
2024-05-13 17:22,아니오,비타민D,면역력 강화,매일,아무때나,5,브랜드 신뢰도,nan,크기를 작게,비타민 C,인터넷 검색,성분 분석,,nan,1,남자,44
2024-12-14 22:10,아니오,루테인,모름,매일,저녁,3,성분,약국,효과 증대,홍삼,인터넷 검색,가격 비교,3,비용이 너무 비싸서,,여자,42
2024-06-14 21:01,예,모름,다이어트,nan,아침,5,가격,nan,nan,프로바이오틱스,소셜 미디어,전문가 의견,3,모름,,여자,63
2024-06-05 0:15,아니오,루테인,피로 회복,nan,아침,2,가격,약국,nan,홍삼,전문가 추천,성분 분석,4,nan,5,남자,20
2024-07-04 14:32,아니오,오메가3,면역력 강화,주 1회,nan,3,구매 편의성,온라인 쇼핑몰,크기를 작게,유산균,인터넷 검색,가격 비교,,모름,3,남자,52
2024-10-10 3:47,예,비타민D,모름,한 달에 한 번,nan,4,효과,마트,크기를 작게,프로바이오틱스,인터넷 검색,성분 분석,5,비용이 너무 비싸서,,남자,34
2024-12-10 4:10,예,오메가3,다이어트,매일,nan,2,가격,마트,섭취가 편한 제품,프로바이오틱스,소셜 미디어,가격 비교,2,효과를 믿지 않아서,2,여자,36
2024-01-13 10:08,예,nan,다이어트,nan,아무때나,2,nan,백화점,섭취가 편한 제품,nan,소셜 미디어,가격 비교,1,모름,3,여자,53
2024-03-15 21:35,아니오,비타민D,피로 회복,한 달에 한 번,nan,2,nan,온라인 쇼핑몰,가격 인하,홍삼,nan,성분 분석,1,비용이 너무 비싸서,1,여자,36
2024-01-30 5:30,예,엑세라민,모름,nan,아침,4,성분,마트,가격 인하,유산균,친구 및 가족,사용 후기,5,모름,2,여자,60
2024-12-06 3:43,예,모름,다이어트,nan,nan,1,성분,백화점,nan,비타민 C,전문가 추천,성분 분석,3,nan,3,여자,63
2024-07-23 23:16,예,비타민D,면역력 강화,매일,점심,,효과,온라인 쇼핑몰,nan,nan,nan,성분 분석,3,비용이 너무 비싸서,1,여자,23
2024-11-14 5:35,예,nan,피로 회복,매일,nan,5,효과,마트,효과 증대,홍삼,인터넷 검색,가격 비교,3,nan,,여자,32
2024-05-21 9:30,예,nan,모름,nan,아무때나,3,구매 편의성,약국,효과 증대,비타민 C,소셜 미디어,전문가 의견,,건강에 문제 없어서,2,남자,23
2024-01-01 8:46,예,오메가3,피로 회복,주 2~3회,점심,1,브랜드 신뢰도,nan,섭취가 편한 제품,홍삼,친구 및 가족,가격 비교,3,비용이 너무 비싸서,2,여자,26
2024-05-22 3:03,아니오,루테인,면역력 강화,nan,아침,3,성분,온라인 쇼핑몰,가격 인하,nan,nan,nan,3,모름,1,여자,65
2024-07-25 10:21,아니오,비타민D,모름,nan,아침,5,효과,백화점,섭취가 편한 제품,비타민 C,친구 및 가족,성분 분석,,건강에 문제 없어서,2,여자,28
2024-02-08 8:43,예,모름,피로 회복,주 1회,저녁,4,성분,온라인 쇼핑몰,섭취가 편한 제품,nan,소셜 미디어,성분 분석,,nan,,여자,42
2024-10-08 16:43,예,비타민D,피부 건강,주 1회,점심,2,효과,백화점,가격 인하,홍삼,nan,사용 후기,5,nan,,남자,52
2024-10-26 23:09,예,홍삼,면역력 강화,주 1회,저녁,2,가격,온라인 쇼핑몰,효과 증대,프로바이오틱스,nan,가격 비교,4,모름,,여자,52
2024-06-22 21:56,아니오,루테인,면역력 강화,주 2~3회,점심,4,성분,백화점,가격 인하,비타민 D,친구 및 가족,사용 후기,,건강에 문제 없어서,1,여자,39
2024-09-13 11:40,아니오,모름,면역력 강화,주 2~3회,점심,1,가격,마트,크기를 작게,프로바이오틱스,소셜 미디어,성분 분석,2,효과를 믿지 않아서,4,남자,23
2024-05-26 12:16,아니오,모름,피부 건강,nan,아무때나,1,성분,약국,크기를 작게,nan,인터넷 검색,가격 비교,3,모름,4,남자,20
2024-09-23 8:25,아니오,엑세라민,피부 건강,주 1회,저녁,3,브랜드 신뢰도,마트,크기를 작게,nan,nan,가격 비교,4,nan,2,여자,61
2024-07-21 18:40,아니오,오메가3,다이어트,주 2~3회,아무때나,4,구매 편의성,약국,nan,nan,인터넷 검색,nan,1,비용이 너무 비싸서,,여자,53
2024-02-28 19:46,아니오,엑세라민,피로 회복,매일,점심,1,nan,마트,효과 증대,비타민 C,소셜 미디어,nan,5,건강에 문제 없어서,2,여자,46
2024-03-14 10:31,아니오,모름,다이어트,nan,아침,4,nan,마트,효과 증대,유산균,nan,전문가 의견,4,효과를 믿지 않아서,1,여자,40
2024-12-15 15:42,아니오,루테인,피로 회복,한 달에 한 번,점심,5,nan,온라인 쇼핑몰,nan,nan,nan,nan,,비용이 너무 비싸서,2,여자,43
2024-12-29 12:55,아니오,비타민D,피부 건강,nan,아무때나,2,가격,nan,섭취가 편한 제품,프로바이오틱스,인터넷 검색,가격 비교,3,건강에 문제 없어서,5,여자,34
2024-04-08 6:47,예,비타민D,피부 건강,한 달에 한 번,저녁,2,효과,백화점,크기를 작게,비타민 D,전문가 추천,nan,3,모름,4,남자,54
2024-11-10 22:40,예,루테인,다이어트,주 1회,저녁,2,nan,백화점,크기를 작게,nan,인터넷 검색,전문가 의견,3,모름,2,남자,44
2024-10-24 18:32,예,모름,모름,한 달에 한 번,아무때나,4,브랜드 신뢰도,백화점,섭취가 편한 제품,nan,인터넷 검색,성분 분석,4,건강에 문제 없어서,2,여자,28
2024-04-08 15:34,예,nan,다이어트,주 1회,저녁,4,nan,약국,가격 인하,nan,전문가 추천,nan,3,효과를 믿지 않아서,3,여자,36
2024-06-15 5:47,아니오,비타민D,피로 회복,매일,nan,3,성분,백화점,가격 인하,비타민 C,소셜 미디어,가격 비교,,건강에 문제 없어서,2,여자,40
2024-06-17 10:24,아니오,nan,다이어트,한 달에 한 번,아침,2,가격,백화점,효과 증대,nan,소셜 미디어,성분 분석,4,비용이 너무 비싸서,5,남자,32
2024-09-22 6:07,예,비타민D,면역력 강화,nan,아침,3,성분,온라인 쇼핑몰,nan,프로바이오틱스,nan,가격 비교,3,비용이 너무 비싸서,4,여자,22
2024-04-01 16:57,아니오,비타민D,피로 회복,주 1회,아침,2,성분,마트,효과 증대,홍삼,친구 및 가족,성분 분석,1,모름,3,남자,23
2024-09-13 2:54,예,오메가3,피로 회복,nan,저녁,3,성분,백화점,가격 인하,유산균,친구 및 가족,가격 비교,1,건강에 문제 없어서,1,남자,23
2024-04-17 18:47,아니오,오메가3,모름,주 2~3회,저녁,3,구매 편의성,nan,섭취가 편한 제품,nan,nan,nan,2,모름,1,여자,62
2024-09-21 12:35,예,홍삼,피부 건강,주 1회,점심,5,구매 편의성,백화점,효과 증대,비타민 C,친구 및 가족,nan,3,효과를 믿지 않아서,4,남자,47
2024-09-19 16:44,아니오,엑세라민,피로 회복,한 달에 한 번,점심,3,효과,약국,크기를 작게,프로바이오틱스,인터넷 검색,전문가 의견,3,비용이 너무 비싸서,1,여자,26
2024-09-30 7:02,아니오,루테인,피부 건강,주 1회,아침,4,가격,약국,크기를 작게,nan,인터넷 검색,성분 분석,4,nan,5,남자,45
2024-05-03 3:04,예,루테인,다이어트,nan,nan,3,브랜드 신뢰도,약국,섭취가 편한 제품,비타민 C,전문가 추천,전문가 의견,4,nan,2,여자,30
2024-11-16 18:58,아니오,루테인,면역력 강화,매일,점심,2,브랜드 신뢰도,백화점,가격 인하,홍삼,전문가 추천,사용 후기,3,건강에 문제 없어서,4,여자,43
2024-01-19 23:58,예,홍삼,모름,주 1회,점심,3,브랜드 신뢰도,온라인 쇼핑몰,크기를 작게,비타민 D,nan,nan,2,건강에 문제 없어서,3,남자,62
2024-10-16 0:05,예,오메가3,피부 건강,한 달에 한 번,저녁,1,성분,nan,크기를 작게,nan,nan,성분 분석,3,nan,2,남자,29
2024-12-02 12:02,예,모름,피로 회복,주 2~3회,nan,,구매 편의성,백화점,nan,프로바이오틱스,nan,전문가 의견,,건강에 문제 없어서,1,남자,56
2024-03-19 22:03,예,nan,피부 건강,매일,아침,2,가격,온라인 쇼핑몰,효과 증대,비타민 C,인터넷 검색,전문가 의견,4,비용이 너무 비싸서,1,여자,32
2024-10-05 18:34,아니오,nan,피로 회복,주 2~3회,점심,1,성분,온라인 쇼핑몰,가격 인하,비타민 C,친구 및 가족,사용 후기,3,효과를 믿지 않아서,3,남자,63
2024-03-09 7:45,아니오,모름,피부 건강,주 1회,nan,2,구매 편의성,백화점,효과 증대,nan,nan,전문가 의견,4,효과를 믿지 않아서,5,남자,61
2024-05-18 11:21,아니오,홍삼,피로 회복,nan,nan,4,구매 편의성,백화점,가격 인하,비타민 C,nan,가격 비교,3,모름,3,여자,58
2024-06-28 18:14,예,모름,다이어트,nan,아침,,nan,온라인 쇼핑몰,크기를 작게,비타민 D,인터넷 검색,nan,5,비용이 너무 비싸서,4,여자,38
2024-01-15 14:45,아니오,루테인,피로 회복,한 달에 한 번,nan,,nan,온라인 쇼핑몰,nan,비타민 C,인터넷 검색,전문가 의견,4,건강에 문제 없어서,3,남자,38
2024-02-26 23:55,예,엑세라민,피로 회복,nan,nan,4,가격,온라인 쇼핑몰,효과 증대,유산균,인터넷 검색,전문가 의견,2,건강에 문제 없어서,1,남자,31
2024-01-06 2:45,아니오,비타민D,면역력 강화,매일,nan,,가격,백화점,크기를 작게,유산균,친구 및 가족,사용 후기,5,모름,5,남자,41
2024-10-23 16:14,아니오,nan,피로 회복,nan,점심,4,가격,온라인 쇼핑몰,가격 인하,비타민 C,nan,가격 비교,,모름,5,여자,66
2024-01-24 9:12,아니오,오메가3,면역력 강화,한 달에 한 번,아침,1,성분,약국,효과 증대,nan,소셜 미디어,전문가 의견,3,건강에 문제 없어서,,여자,56
2024-11-08 18:03,예,오메가3,모름,주 1회,nan,5,효과,백화점,효과 증대,유산균,소셜 미디어,nan,,건강에 문제 없어서,3,남자,49
2024-11-02 4:13,아니오,홍삼,면역력 강화,주 1회,nan,2,가격,약국,크기를 작게,프로바이오틱스,nan,nan,4,비용이 너무 비싸서,4,여자,65
2024-07-08 23:45,아니오,오메가3,다이어트,nan,점심,4,nan,마트,효과 증대,유산균,nan,전문가 의견,5,모름,1,남자,31
2024-05-05 7:41,예,루테인,면역력 강화,주 2~3회,아침,2,효과,백화점,nan,비타민 C,nan,가격 비교,,비용이 너무 비싸서,2,남자,48
2024-02-16 18:24,아니오,nan,모름,주 1회,저녁,1,성분,마트,nan,nan,nan,nan,2,건강에 문제 없어서,5,여자,40
2024-08-24 9:23,예,모름,다이어트,nan,점심,5,효과,온라인 쇼핑몰,크기를 작게,홍삼,친구 및 가족,nan,4,nan,3,남자,30
2024-06-21 2:05,아니오,루테인,피부 건강,한 달에 한 번,아침,1,브랜드 신뢰도,온라인 쇼핑몰,가격 인하,nan,소셜 미디어,가격 비교,5,nan,,남자,56
2024-01-23 15:39,예,홍삼,피부 건강,nan,nan,,효과,nan,크기를 작게,nan,전문가 추천,가격 비교,,건강에 문제 없어서,4,여자,67
2024-02-20 10:05,예,루테인,면역력 강화,주 1회,아침,2,가격,온라인 쇼핑몰,nan,nan,소셜 미디어,전문가 의견,5,모름,4,남자,37
2024-06-30 22:50,아니오,모름,면역력 강화,한 달에 한 번,아침,5,성분,마트,섭취가 편한 제품,프로바이오틱스,소셜 미디어,성분 분석,5,nan,1,남자,63
2024-08-04 7:06,예,엑세라민,모름,nan,아침,,가격,온라인 쇼핑몰,섭취가 편한 제품,비타민 D,인터넷 검색,사용 후기,,모름,5,여자,46
2024-05-22 20:35,예,홍삼,모름,매일,저녁,5,nan,백화점,효과 증대,비타민 C,nan,성분 분석,1,nan,1,남자,56
2024-09-03 6:09,예,엑세라민,피로 회복,한 달에 한 번,아침,,브랜드 신뢰도,온라인 쇼핑몰,효과 증대,비타민 D,nan,성분 분석,3,모름,,남자,67
2024-06-01 17:20,예,비타민D,모름,매일,저녁,1,nan,nan,섭취가 편한 제품,홍삼,nan,nan,4,nan,2,여자,31
2024-04-15 5:24,예,엑세라민,피로 회복,주 2~3회,nan,4,가격,온라인 쇼핑몰,nan,비타민 D,인터넷 검색,가격 비교,4,모름,2,여자,42
2024-05-18 2:35,예,비타민D,다이어트,한 달에 한 번,저녁,2,가격,마트,효과 증대,비타민 C,친구 및 가족,nan,4,비용이 너무 비싸서,2,여자,53
2024-10-09 1:29,아니오,비타민D,면역력 강화,매일,nan,3,가격,마트,크기를 작게,비타민 C,친구 및 가족,사용 후기,5,모름,4,남자,57
