발생년월일시,사망자수
2020-01-30 06,1
2020-01-30 06,1
2020-01-30 07,1
2020-01-30 07,1
2020-01-30 11,1
2020-01-30 11,1
2020-01-30 13,1
2020-01-30 18,1
2020-01-30 18,1
2020-01-30 21,1
2020-01-31 05,1
2020-01-31 06,1
2020-01-31 12,1
2020-01-31 12,1
2020-01-31 15,1
2020-01-31 17,1
2020-01-31 21,1
2020-01-31 22,1
2020-02-01 00,1
2020-02-01 01,1
2020-02-01 05,1
2020-02-01 10,1
2020-02-02 05,1
2020-02-02 05,1
2020-02-02 05,1
2020-02-02 08,1
2020-02-02 16,3
2020-02-02 17,1
2020-02-02 19,1
2020-02-02 22,1
2020-02-02 23,1
2020-02-03 05,1
2020-02-03 06,1
2020-02-03 08,1
2020-02-03 10,1
2020-02-03 10,1
2020-02-03 12,1
2020-02-03 13,1
2020-02-03 13,1
2020-02-03 15,1
2020-02-04 01,1
2020-02-04 02,1
2020-02-04 05,1
2020-02-04 07,1
2020-02-04 13,1
2020-02-04 13,1
2020-02-04 14,1
2020-02-04 15,2
2020-02-04 17,1
2020-02-04 21,1
2020-02-05 07,1
2020-02-05 08,1
2020-02-05 19,1
2020-02-05 19,1
2020-02-05 20,1
2020-02-05 20,1
2020-02-06 01,1
2020-02-06 03,1
2020-02-06 15,1
2020-02-06 18,1
2020-02-06 21,1
2020-02-06 23,1
2020-02-07 06,1
2020-02-07 06,1
2020-02-07 08,1
2020-02-07 12,1
2020-02-07 13,1
2020-02-07 14,1
2020-02-07 14,1
2020-02-07 18,1
2020-02-07 19,1
2020-02-08 03,1
2020-02-08 06,1
2020-02-08 07,1
2020-02-08 14,1
2020-02-08 18,1
2020-02-08 18,1
2020-02-08 19,1
2020-02-08 19,1
2020-02-09 06,1
2020-02-09 11,1
2020-02-09 12,1
2020-02-09 16,1
2020-02-09 16,1
2020-02-09 17,1
2020-02-09 21,1
2020-02-10 03,1
2020-02-10 04,1
2020-02-10 07,1
2020-02-10 09,1
2020-02-10 16,1
2020-02-10 16,1
2020-02-10 17,1
2020-02-10 18,1
2020-02-10 18,1
2020-02-10 19,1
2020-02-10 21,1
2020-02-11 06,1
2020-02-11 06,1
2020-02-11 12,1
2020-02-11 13,1
2020-02-11 14,1
2020-02-11 19,1
2020-02-11 20,1
2020-02-11 20,1
2020-02-11 23,1
2020-02-12 01,1
2020-02-12 03,1
2020-02-12 03,1
2020-02-12 05,1
2020-02-12 11,1
2020-02-12 12,1
2020-02-12 17,1
2020-02-12 19,1
2020-02-12 20,1
2020-02-12 22,1
2020-02-13 10,1
2020-02-13 18,1
2020-02-13 19,1
2020-02-13 20,1
2020-02-14 06,1
2020-02-14 09,1
2020-02-14 13,1
2020-02-14 15,1
2020-02-14 23,1
2020-02-15 00,1
2020-02-15 00,1
2020-02-15 02,1
2020-02-15 05,1
2020-02-15 09,1
2020-02-15 09,1
2020-02-15 18,1
2020-02-15 23,1
2020-02-16 00,1
2020-02-16 02,1
2020-02-16 05,1
2020-02-16 14,1
2020-02-16 14,1
2020-02-16 22,1
2020-02-17 04,1
2020-02-17 05,1
2020-02-17 06,1
2020-02-17 10,1
2020-02-17 12,5
2020-02-17 18,1
2020-02-17 23,1
2020-02-18 04,1
2020-02-18 10,1
2020-02-18 18,1
2020-02-18 18,1
2020-02-18 23,1
2020-02-19 02,1
2020-02-19 05,1
2020-02-19 09,1
2020-02-19 11,1
2020-02-19 11,1
2020-02-19 13,1
2020-02-19 13,1
2020-02-19 15,1
2020-02-19 17,1
2020-02-19 18,1
2020-02-19 19,1
2020-02-19 20,1
2020-02-20 04,1
2020-02-20 06,1
2020-02-20 08,1
2020-02-20 18,1
2020-02-20 18,1
2020-02-20 19,1
2020-02-20 19,1
2020-02-20 20,1
2020-02-20 23,1
2020-02-21 01,1
2020-02-21 02,1
2020-02-21 05,1
2020-02-21 06,1
2020-02-21 09,1
2020-02-21 12,1
2020-02-21 18,1
2020-02-21 18,1
2020-02-21 19,1
2020-02-21 20,1
2020-02-21 22,1
2020-02-21 22,1
2020-02-22 01,1
2020-02-22 08,1
2020-02-22 10,1
2020-02-22 15,1
2020-02-22 16,1
2020-02-22 21,1
2020-02-22 21,1
2020-02-23 05,1
2020-02-24 06,1
2020-02-24 07,1
2020-02-24 10,1
2020-02-25 00,1
2020-02-25 02,1
2020-02-25 09,1
2020-02-25 13,1
2020-02-25 14,1
2020-02-25 14,1
2020-02-25 15,1
2020-02-25 20,1
2020-02-25 21,1
2020-02-26 00,1
2020-02-26 05,1
2020-02-26 11,1
2020-02-26 14,1
2020-02-26 19,1
2020-02-26 22,1
2020-02-26 22,1
2020-02-27 02,1
2020-02-27 04,1
2020-02-27 05,1
2020-02-27 06,1
2020-02-27 06,1
2020-02-27 10,1
2020-02-27 18,1
2020-02-27 23,1
2020-02-28 02,1
2020-02-28 13,1
2020-02-28 18,1
2020-02-28 19,1
2020-02-28 21,1
2020-02-28 23,1
2020-02-29 08,1
2020-02-29 14,1
2020-02-29 14,1
2020-02-29 16,1
2020-02-29 17,3
2020-02-29 18,1
2020-03-01 10,1
2020-03-01 16,1
2020-03-01 16,1
2020-03-01 19,1
2020-03-01 21,1
2020-03-02 02,1
2020-03-02 06,1
2020-03-02 15,1
2020-03-02 17,1
2020-03-02 17,1
2020-03-02 18,1
2020-03-02 23,1
2020-03-03 02,1
2020-03-03 03,1
2020-03-03 05,1
2020-03-03 06,1
2020-03-04 00,1
2020-03-04 05,2
2020-03-04 15,1
2020-03-04 16,1
2020-03-04 17,1
2020-03-04 19,1
2020-03-05 00,2
2020-03-05 15,1
2020-03-05 15,1
2020-03-05 17,1
2020-03-06 03,1
2020-03-06 06,1
2020-03-06 12,1
2020-03-06 13,1
2020-03-06 17,1
2020-03-06 17,1
2020-03-06 18,1
2020-03-06 20,1
2020-03-06 21,1
2020-03-06 22,1
2020-03-06 22,1
2020-03-07 00,1
2020-03-07 10,1
2020-03-07 10,1
2020-03-08 01,1
2020-03-08 10,1
2020-03-08 12,1
2020-03-08 13,1
2020-03-08 16,1
2020-03-08 16,1
2020-03-08 17,1
2020-03-08 20,1
2020-03-08 23,1
2020-03-09 00,1
2020-03-09 10,1
2020-03-09 13,1
2020-03-09 15,1
2020-03-09 16,1
2020-03-09 19,1
2020-03-09 22,1
2020-03-09 22,1
2020-03-10 04,1
2020-03-10 04,1
2020-03-10 06,1
2020-03-10 15,1
2020-03-10 19,1
2020-03-10 19,1
2020-03-10 19,1
2020-03-10 22,1
2020-03-10 23,1
2020-03-11 07,1
2020-03-11 08,1
2020-03-11 12,1
2020-03-11 13,1
2020-03-11 15,1
2020-03-11 16,2
2020-03-11 17,1
2020-03-11 21,1
2020-03-11 21,1
2020-03-12 00,5
2020-03-12 09,1
2020-03-12 13,1
2020-03-12 13,1
2020-03-12 17,3
2020-03-12 19,1
2020-03-12 20,1
2020-03-12 20,1
2020-03-13 00,1
2020-03-13 05,1
2020-03-13 06,1
2020-03-13 07,1
2020-03-13 13,1
2020-03-13 18,1
2020-03-13 21,1
2020-03-14 01,1
2020-03-14 04,1
2020-03-14 05,1
2020-03-14 06,1
2020-03-14 08,1
2020-03-14 12,1
2020-03-14 15,1
2020-03-14 16,1
2020-03-14 17,2
2020-03-14 17,1
2020-03-14 19,1
2020-03-15 04,1
2020-03-15 08,2
2020-03-15 19,1
2020-03-15 22,1
2020-03-16 00,1
2020-03-16 05,1
2020-03-16 10,1
2020-03-16 16,1
2020-03-16 16,1
2020-03-16 19,1
2020-03-16 19,1
2020-03-16 20,1
2020-03-16 21,1
2020-03-17 02,1
2020-03-17 03,1
2020-03-17 13,1
2020-03-17 14,1
2020-03-17 14,1
2020-03-17 14,1
2020-03-17 16,1
2020-03-17 19,1
2020-03-17 19,1
2020-03-17 23,1
2020-03-18 01,1
2020-03-18 09,1
2020-03-18 14,1
2020-03-18 17,1
2020-03-18 19,1
2020-03-19 06,1
2020-03-19 11,1
2020-03-19 19,1
2020-03-19 21,1
2020-03-19 21,1
2020-03-19 23,1
2020-03-20 05,1
2020-03-20 06,1
2020-03-20 06,1
2020-03-20 23,1
2020-03-21 01,1
2020-03-21 03,1
2020-03-21 06,1
2020-03-21 11,3
2020-03-21 13,1
2020-03-21 14,1
2020-03-21 23,1
2020-03-22 04,1
2020-03-22 04,1
2020-03-22 05,1
2020-03-22 13,1
2020-03-22 14,1
2020-03-22 21,1
2020-03-22 22,1
2020-03-23 07,2
2020-03-23 08,1
2020-03-23 11,1
2020-03-23 12,1
2020-03-23 14,1
2020-03-23 14,1
2020-03-23 14,1
2020-03-23 16,1
2020-03-23 21,2
2020-03-24 00,1
2020-03-24 10,1
2020-03-24 15,1
2020-03-24 23,1
2020-03-25 04,1
2020-03-25 06,1
2020-03-25 12,1
2020-03-25 14,1
2020-03-25 15,1
2020-03-25 20,1
2020-03-25 20,1
2020-03-25 22,1
2020-03-26 02,1
2020-03-26 09,1
2020-03-26 09,1
2020-03-26 12,1
2020-03-26 19,1
2020-03-26 20,1
2020-03-26 21,1
2020-03-27 06,1
2020-03-27 09,1
2020-03-27 10,1
2020-03-27 11,1
2020-03-27 13,1
2020-03-27 20,1
2020-03-27 22,1
2020-03-27 23,1
2020-03-28 08,1
2020-03-28 12,1
2020-03-28 13,1
2020-03-28 15,1
2020-03-28 17,1
2020-03-28 18,1
2020-03-28 20,1
2020-03-28 23,1
2020-03-29 00,1
2020-03-29 03,1
2020-03-29 10,1
2020-03-29 10,1
2020-03-29 12,1
2020-03-29 13,1
2020-03-29 16,1
2020-03-29 16,1
2020-03-29 20,1
2020-03-29 20,1
2020-03-29 21,1
2020-03-30 02,1
2020-03-30 09,2
2020-03-30 10,1
2020-03-30 12,1
2020-03-30 13,1
2020-03-30 19,1
2020-03-30 19,1
2020-03-30 22,1
2020-03-31 01,1
2020-03-31 04,1
2020-03-31 04,1
2020-03-31 09,1
2020-03-31 12,1
2020-03-31 20,1
2020-03-31 23,1
2020-04-01 04,1
2020-04-01 06,1
2020-04-01 06,1
2020-04-01 09,1
2020-04-01 10,1
2020-04-01 13,1
2020-04-01 16,1
2020-04-01 23,1
2020-04-02 05,1
2020-04-02 07,1
2020-04-02 14,1
2020-04-02 14,1
2020-04-02 16,1
2020-04-02 19,1
2020-04-02 21,1
2020-04-03 09,1
2020-04-03 10,1
2020-04-03 11,1
2020-04-03 19,1
2020-04-04 03,1
2020-04-04 04,1
2020-04-04 12,1
2020-04-04 14,1
2020-04-04 15,1
2020-04-04 16,1
2020-04-04 20,1
2020-04-05 00,1
2020-04-05 02,1
2020-04-05 05,1
2020-04-05 11,1
2020-04-05 11,1
2020-04-05 13,1
2020-04-05 15,1
2020-04-05 15,1
2020-04-05 19,1
2020-04-05 20,1
2020-04-06 05,1
2020-04-06 07,1
2020-04-06 09,1
2020-04-06 16,1
2020-04-07 01,1
2020-04-07 02,1
2020-04-07 04,1
2020-04-07 05,1
2020-04-07 07,1
2020-04-07 11,1
2020-04-07 16,1
2020-04-07 22,1
2020-04-08 00,1
2020-04-08 01,1
2020-04-08 06,1
2020-04-08 11,1
2020-04-08 12,1
2020-04-08 14,1
2020-04-08 19,1
2020-04-08 19,1
2020-04-08 20,1
2020-04-09 12,1
2020-04-09 13,1
2020-04-09 14,1
2020-04-09 14,1
2020-04-09 15,1
2020-04-09 19,1
2020-04-09 23,1
2020-04-10 05,1
2020-04-10 11,1
2020-04-10 11,1
2020-04-10 18,1
2020-04-10 20,1
2020-04-10 20,1
2020-04-10 21,1
2020-04-10 23,1
2020-04-11 16,1
2020-04-11 17,1
2020-04-11 23,1
2020-04-12 00,1
2020-04-12 00,1
2020-04-12 05,1
2020-04-12 05,1
2020-04-12 05,1
2020-04-12 07,2
2020-04-12 11,1
2020-04-12 17,1
2020-04-12 21,1
2020-04-12 22,1
2020-04-13 09,1
2020-04-13 11,1
2020-04-13 12,1
2020-04-13 20,1
2020-04-14 00,1
2020-04-14 01,1
2020-04-14 09,1
2020-04-14 11,1
2020-04-14 17,1
2020-04-14 17,1
2020-04-15 10,1
2020-04-15 10,1
2020-04-15 15,1
2020-04-15 16,1
2020-04-15 18,1
2020-04-15 21,1
2020-04-16 00,1
2020-04-16 12,1
2020-04-16 19,1
2020-04-16 19,1
2020-04-16 20,1
2020-04-17 05,1
2020-04-17 08,1
2020-04-17 11,1
2020-04-17 13,1
2020-04-17 16,1
2020-04-17 17,1
2020-04-17 19,1
2020-04-17 20,1
2020-04-17 23,1
2020-04-18 17,1
2020-04-18 17,1
2020-04-18 19,1
2020-04-18 22,1
2020-04-18 23,1
2020-04-18 23,1
2020-04-19 16,1
2020-04-19 19,1
2020-04-19 20,1
2020-04-19 23,1
2020-04-20 08,1
2020-04-20 08,1
2020-04-20 16,1
2020-04-20 17,1
2020-04-20 23,1
2020-04-21 02,1
2020-04-21 08,1
2020-04-21 13,1
2020-04-21 15,1
2020-04-21 17,1
2020-04-22 00,1
2020-04-22 00,1
2020-04-22 02,1
2020-04-22 11,1
2020-04-22 12,1
2020-04-22 12,1
2020-04-22 12,2
2020-04-22 13,1
2020-04-22 22,1
2020-04-22 22,1
2020-04-23 03,1
2020-04-23 05,1
2020-04-23 06,1
2020-04-23 07,1
2020-04-23 09,1
2020-04-23 21,1
2020-04-24 00,1
2020-04-24 08,1
2020-04-24 09,1
2020-04-24 12,1
2020-04-24 13,1
2020-04-24 13,1
2020-04-24 14,1
2020-04-24 15,1
2020-04-24 20,1
2020-04-25 00,1
2020-04-25 04,1
2020-04-25 08,1
2020-04-25 08,1
2020-04-25 12,1
2020-04-25 15,1
2020-04-25 15,1
2020-04-25 23,1
2020-04-26 02,1
2020-04-26 06,1
2020-04-26 15,1
2020-04-26 20,1
2020-04-26 22,1
2020-04-26 23,1
2020-04-27 04,1
2020-04-27 06,1
2020-04-27 11,1
2020-04-27 11,1
2020-04-27 11,1
2020-04-27 12,1
2020-04-27 12,1
2020-04-27 13,1
2020-04-27 16,1
2020-04-27 17,1
2020-04-27 19,1
2020-04-28 07,1
2020-04-28 09,1
2020-04-28 12,1
2020-04-28 12,1
2020-04-28 19,1
2020-04-29 05,1
2020-04-29 09,1
2020-04-29 10,1
2020-04-29 13,1
2020-04-29 14,1
2020-04-29 15,1
2020-04-29 17,1
2020-04-29 19,1
2020-04-29 19,1
2020-04-29 19,1
2020-04-29 20,1
2020-04-29 23,1
2020-04-30 00,2
2020-04-30 01,1
2020-04-30 04,1
2020-04-30 04,1
2020-04-30 11,1
2020-04-30 17,1
2020-04-30 18,1
2020-04-30 20,1
2020-05-01 00,1
2020-05-01 04,1
2020-05-01 17,1
2020-05-02 02,2
2020-05-02 04,1
2020-05-02 08,1
2020-05-02 12,1
2020-05-02 14,1
2020-05-02 14,1
2020-05-02 17,1
2020-05-02 18,1
2020-05-02 22,1
2020-05-03 03,1
2020-05-03 03,1
2020-05-03 03,1
2020-05-03 03,1
2020-05-04 04,2
2020-05-04 04,1
2020-05-04 10,1
2020-05-04 12,1
2020-05-04 13,1
2020-05-04 13,1
2020-05-04 15,1
2020-05-04 15,1
2020-05-04 16,1
2020-05-04 17,1
2020-05-05 19,1
2020-05-05 21,1
2020-05-06 05,1
2020-05-06 09,1
2020-05-06 12,1
2020-05-06 13,1
2020-05-06 13,1
2020-05-06 13,1
2020-05-06 15,1
2020-05-06 19,1
2020-05-06 19,1
2020-05-06 19,1
2020-05-06 20,1
2020-05-06 20,1
2020-05-07 09,1
2020-05-07 12,1
2020-05-07 16,1
2020-05-07 20,1
2020-05-07 20,1
2020-05-07 23,1
2020-05-08 08,1
2020-05-08 11,1
2020-05-08 13,1
2020-05-08 13,1
2020-05-08 14,1
2020-05-08 19,1
2020-05-08 22,1
2020-05-08 23,1
2020-05-09 03,1
2020-05-09 05,2
2020-05-09 08,1
2020-05-09 19,1
2020-05-09 20,1
2020-05-09 21,1
2020-05-09 21,1
2020-05-09 23,1
2020-05-10 01,1
2020-05-10 02,1
2020-05-10 03,1
2020-05-10 13,1
2020-05-10 22,1
2020-05-10 22,1
2020-05-11 01,1
2020-05-11 06,1
2020-05-11 11,1
2020-05-11 12,1
2020-05-11 15,1
2020-05-11 16,1
2020-05-11 21,1
2020-05-11 23,1
2020-05-12 00,1
2020-05-12 04,1
2020-05-12 04,1
2020-05-12 06,1
2020-05-12 08,1
2020-05-12 11,1
2020-05-12 12,2
2020-05-12 12,1
2020-05-12 14,1
2020-05-12 14,1
2020-05-12 17,1
2020-05-12 19,1
2020-05-12 23,1
2020-05-12 23,1
2020-05-13 01,1
2020-05-13 01,1
2020-05-13 10,1
2020-05-13 11,1
2020-05-13 13,1
2020-05-13 15,2
2020-05-13 18,1
2020-05-13 23,1
2020-05-14 01,1
2020-05-14 02,1
2020-05-14 14,1
2020-05-14 21,1
2020-05-14 21,1
2020-05-14 22,1
2020-05-14 22,1
2020-05-15 02,2
2020-05-15 03,1
2020-05-15 03,1
2020-05-15 07,1
2020-05-15 07,1
2020-05-15 11,1
2020-05-15 13,1
2020-05-15 14,1
2020-05-15 15,1
2020-05-15 19,2
2020-05-15 20,1
2020-05-16 08,1
2020-05-16 09,1
2020-05-16 09,1
2020-05-16 10,1
2020-05-16 14,1
2020-05-17 02,1
2020-05-17 06,1
2020-05-17 19,1
2020-05-17 19,1
2020-05-17 20,1
2020-05-17 21,1
2020-05-18 00,1
2020-05-18 01,1
2020-05-18 08,1
2020-05-18 10,1
2020-05-18 10,1
2020-05-18 13,2
2020-05-18 13,1
2020-05-18 14,1
2020-05-18 19,1
2020-05-19 00,1
2020-05-19 08,1
2020-05-19 08,1
2020-05-19 15,1
2020-05-19 17,1
2020-05-19 21,1
2020-05-19 23,1
2020-05-19 23,1
2020-05-20 01,1
2020-05-20 02,1
2020-05-20 04,1
2020-05-20 04,1
2020-05-20 06,1
2020-05-20 09,1
2020-05-20 09,1
2020-05-20 10,1
2020-05-20 11,1
2020-05-20 15,1
2020-05-20 15,1
2020-05-20 17,1
2020-05-20 17,1
2020-05-21 00,1
2020-05-21 06,1
2020-05-21 06,2
2020-05-21 12,1
2020-05-21 14,1
2020-05-21 14,1
2020-05-22 01,1
2020-05-22 08,1
2020-05-22 09,1
2020-05-22 11,1
2020-05-22 11,1
2020-05-22 18,1
2020-05-22 19,1
2020-05-22 20,1
2020-05-23 04,1
2020-05-23 08,1
2020-05-23 09,1
2020-05-23 10,1
2020-05-23 12,1
2020-05-23 12,1
2020-05-23 21,1
2020-05-23 22,1
2020-05-23 23,1
2020-05-24 06,1
2020-05-24 06,1
2020-05-24 07,1
2020-05-24 08,1
2020-05-24 17,1
2020-05-24 17,1
2020-05-24 20,1
2020-05-24 20,1
2020-05-25 09,1
2020-05-25 11,1
2020-05-25 12,1
2020-05-25 14,1
2020-05-26 00,1
2020-05-26 08,1
2020-05-26 09,1
2020-05-26 10,1
2020-05-26 14,1
2020-05-26 16,1
2020-05-27 10,1
2020-05-27 13,1
2020-05-27 15,1
2020-05-27 16,1
2020-05-27 22,1
2020-05-27 23,1
2020-05-28 01,1
2020-05-28 09,1
2020-05-28 12,1
2020-05-28 12,1
2020-05-28 14,1
2020-05-28 17,1
2020-05-28 19,1
2020-05-28 20,1
2020-05-28 22,1
2020-05-28 22,1
2020-05-29 04,1
2020-05-29 09,1
2020-05-29 12,1
2020-05-29 14,1
2020-05-29 15,1
2020-05-29 15,1
2020-05-29 19,1
2020-05-29 20,1
2020-05-29 20,1
2020-05-29 21,1
2020-05-29 21,1
2020-05-30 07,1
2020-05-30 11,1
2020-05-30 14,1
2020-05-30 14,1
2020-05-30 15,1
2020-05-30 21,1
2020-05-30 22,1
2020-05-30 22,1
2020-05-31 01,1
2020-05-31 03,1
2020-05-31 06,1
2020-05-31 09,1
2020-05-31 11,1
2020-05-31 14,1
2020-05-31 16,1
2020-05-31 18,3
2020-05-31 19,1
2020-05-31 22,1
2020-06-01 03,1
2020-06-01 11,1
2020-06-01 12,1
2020-06-01 14,1
2020-06-01 15,1
2020-06-01 17,1
2020-06-01 22,1
2020-06-01 23,1
2020-06-02 12,1
2020-06-02 14,1
2020-06-02 14,1
2020-06-02 14,1
2020-06-02 14,1
2020-06-02 15,1
2020-06-02 15,1
2020-06-02 20,1
2020-06-02 22,1
2020-06-02 22,1
2020-06-02 22,1
2020-06-03 00,1
2020-06-03 01,1
2020-06-03 03,1
2020-06-03 08,1
2020-06-03 09,1
2020-06-03 11,1
2020-06-03 14,1
2020-06-03 23,1
2020-06-04 03,1
2020-06-04 12,1
2020-06-04 16,1
2020-06-04 18,1
2020-06-04 20,1
2020-06-04 20,1
2020-06-04 23,1
2020-06-04 23,1
2020-06-05 00,1
2020-06-05 03,1
2020-06-05 04,1
2020-06-05 04,1
2020-06-05 08,1
2020-06-05 09,1
2020-06-05 13,1
2020-06-05 18,1
2020-06-05 23,1
2020-06-05 23,1
2020-06-06 03,1
2020-06-06 04,1
2020-06-06 08,1
2020-06-06 14,1
2020-06-06 15,1
2020-06-06 16,1
2020-06-06 18,1
2020-06-06 21,1
2020-06-06 23,1
2020-06-06 23,1
2020-06-07 02,1
2020-06-07 09,1
2020-06-07 09,1
2020-06-07 10,1
2020-06-07 12,1
2020-06-08 02,1
2020-06-08 06,1
2020-06-08 11,1
2020-06-08 14,1
2020-06-08 17,1
2020-06-08 21,1
2020-06-09 00,1
2020-06-09 08,1
2020-06-09 20,1
2020-06-09 21,1
2020-06-09 22,1
2020-06-09 22,1
2020-06-09 23,1
2020-06-10 02,1
2020-06-10 05,1
2020-06-10 08,1
2020-06-10 08,1
2020-06-10 09,1
2020-06-10 13,1
2020-06-10 13,1
2020-06-10 16,1
2020-06-10 17,1
2020-06-10 20,1
2020-06-10 22,1
2020-06-10 23,1
2020-06-10 23,1
2020-06-11 01,1
2020-06-11 01,1
2020-06-11 04,1
2020-06-11 07,1
2020-06-11 11,1
2020-06-11 16,1
2020-06-11 19,1
2020-06-11 22,1
2020-06-11 22,1
2020-06-12 00,1
2020-06-12 02,1
2020-06-12 08,1
2020-06-12 09,1
2020-06-12 10,1
2020-06-12 11,1
2020-06-12 13,1
2020-06-12 16,1
2020-06-12 17,1
2020-06-12 17,2
2020-06-12 19,1
2020-06-12 20,1
